flight;date;fail.field;fail.nozzle;temp
1;12/04/81;0;0;"18,9"
2;12/11/81;1;0;"21,1"
3;22/03/82;0;0;"20,6"
5;11/11/82;0;0;20
6;04/04/83;0;1;"19,4"
7;18/06/83;0;0;"22,2"
8;30/08/83;0;0;"22,8"
9;28/11/83;0;0;"21,1"
41-B;03/02/84;1;1;"13,9"
41-C;06/04/84;1;1;"17,2"
41-D;30/08/84;1;1;"21,1"
41-G;05/10/84;0;0;"25,6"
51-A;08/11/84;0;0;"19,4"
51-C;24/01/85;1;1;"11,7"
51-D;12/04/85;0;1;"19,4"
51-B;29/04/85;0;1;"23,9"
51-G;17/06/85;0;1;"21,1"
51-F;29/07/85;0;0;"27,2"
51-I;27/08/85;0;0;"24,4"
51-J;03/10/85;0;0;"26,1"
61-A;30/10/85;1;0;"23,9"
61-B;26/11/85;0;1;"24,4"
61-C;12/01/86;1;1;"14,4"
